trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1156,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.28457034962389,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
1157,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.0422184995804,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
1158,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.47410203374282,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
1159,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.9553081366424,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
1160,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.70026538931586,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
1161,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.683985343530196,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
1162,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.70772665101892,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
1163,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.11365294835554,"{0: 6, 1: 4, 2: 8, 3: 0, 4: 2}",0
1164,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.38135990187594,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
1165,False,"{'a': 0.5, 'e': 1.0}",20,11,-27.744905986319502,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
1166,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.34474754165097,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
1167,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.66449755464207,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
1168,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.59411673920076,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
1169,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.98026441772126,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
1170,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.25765078938022,"{0: 10, 1: 1, 2: 12, 3: 0, 4: 2}",0
1171,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.6311555470115,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
1172,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.10160071101205,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
1173,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.90253004642831,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
1174,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.0674868888728,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
1175,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.310963781526,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
1176,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.389919162212244,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
1177,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.88013561723038,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
1178,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.9467203176965,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
1179,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.8799671546134,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
1180,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.07102092999621,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
1181,False,"{'a': 0.5, 'e': 1.0}",20,0,-197.3536327388622,"{0: 6, 1: 3, 2: 7, 3: 2, 4: 2}",0
1182,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.11460179025346,"{0: 15, 1: 1, 2: 11, 3: 1, 4: 2}",0
1183,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.63265606585223,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
1184,False,"{'a': 0.5, 'e': 1.0}",20,1,-68.62748995797335,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
1185,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.8055754518229863,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
1186,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.32602292765318,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
1187,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.04429043357632,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
1188,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.76030549600696,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
1189,False,"{'a': 0.5, 'e': 1.0}",20,13,-85.58718807133452,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 2}",1
1190,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.23705734035414,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
1191,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.2652885028654,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
1192,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.82531773922977,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
1193,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.77225581278036,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
1194,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.9972630614493,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
1195,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.94856275219966,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
1196,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.75486979216704,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
1197,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.75825588156658,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
1198,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.83004070430685,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
1199,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.17256861141105,"{0: 12, 1: 4, 2: 1, 3: 3, 4: 0}",0
1200,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.59223927134963,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
1201,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.56485123922844,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
1202,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.81503609765375,"{0: 9, 1: 4, 2: 2, 3: 4, 4: 1}",0
1203,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.92308196033127,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
